acc	dc0_val	dc1_val	loss
82.8	0.0736348876035051	0.023291111138155893	2.626826986670494
82.8	0.10872536676100047	0.03736365954327	2.7121961414813995
83.2	0.07281562902204222	0.023050760792469142	2.6205596178770065
83.9	0.16016337165223224	0.05193752935620794	2.7681300789117813
83.7	0.155135995293807	0.04729804728313081	2.6695293933153152
83.4	0.1186492110274239	0.04109269543587525	2.6722256392240524
83.0	0.14033445005990575	0.05020326962637376	2.79311865568161
83.6	0.07359578467943781	0.022075270936621063	2.492244616150856
82.9	0.11000879675689842	0.03486472549078471	2.7322630882263184
82.1	0.1245624204170232	0.04273265947343549	2.806232362985611
81.8	0.18229253507898596	0.0682588315002904	2.8374200761318207
83.4	0.03979004537959009	0.009822228912006679	2.5484050661325455
83.2	0.07201662231070986	0.02105037552646311	2.579954981803894
