acc	dc0_val	dc1_val	loss
78.0	0.13002346116196667	0.11050838230483757	0.490523099899292
78.0	0.12979803570599902	0.11028551154712021	0.4905470609664917
78.0	0.1295843793841686	0.11007393397210075	0.49056580662727356
78.0	0.129361603743762	0.10985463006612288	0.4905863106250763
78.0	0.12912914674000764	0.10963678867965691	0.49060267210006714
78.0	0.12902531958579946	0.10952928736342801	0.4906142055988312
78.0	0.12891819093151236	0.10941997507875477	0.49062445759773254
78.0	0.12880602868424987	0.10931522707536152	0.49063289165496826
78.0	0.12869374089622743	0.10920935285420741	0.4906429052352905
78.0	0.12857050628621633	0.1090931309013219	0.49064692854881287
78.0	0.12846151188010227	0.10898584873136054	0.49065396189689636
78.0	0.12835001413222885	0.10887409423699507	0.4906535744667053
78.0	0.1282365381069703	0.10877135101133661	0.49065425992012024
78.0	0.12812608412784757	0.10866613979193974	0.49065637588500977
78.0	0.12800924766897262	0.10856150122658256	0.49064901471138
78.0	0.12789932394237855	0.10844756927951621	0.49064555764198303
78.0	0.12783916354631525	0.1083934056176888	0.4906420409679413
78.0	0.12777991538597017	0.10833945670628145	0.4906357526779175
78.0	0.1277263684573968	0.1082846884698233	0.4906342923641205
78.0	0.12766990111708054	0.10822906068342454	0.49063223600387573
78.0	0.1276174481286069	0.10817575002141831	0.4906291663646698
78.0	0.12755907470016095	0.10812473629799749	0.4906260669231415
78.0	0.12750279721856872	0.10806828002483677	0.4906236231327057
78.0	0.1274443836892375	0.10801091913430015	0.49062013626098633
78.0	0.12738564363327878	0.10795354653112807	0.4906121492385864
78.0	0.127329365643316	0.10790332289404217	0.4906092882156372
78.0	0.12727146038732068	0.1078478338180281	0.4906047582626343
78.0	0.12724493053403982	0.10782199435049294	0.49060311913490295
78.0	0.1272158055752788	0.1077896936495741	0.49060049653053284
78.0	0.12718744060488857	0.1077642067505514	0.4905962646007538
78.0	0.127155116248573	0.1077373541984527	0.4905932545661926
78.0	0.12712578250077863	0.10771062206028768	0.49059268832206726
78.0	0.1270998215483658	0.107681408419172	0.4905931353569031
78.0	0.12707068157481288	0.10765455162923739	0.4905914068222046
78.0	0.12704348343618715	0.10762716143225304	0.49059155583381653
78.0	0.12701210356995443	0.10759915930959363	0.4905893802642822
78.0	0.12698437692550554	0.10757168751357583	0.490587443113327
78.0	0.12695526119220565	0.10754197401016558	0.4905836880207062
78.0	0.12693870463709814	0.10752401097928349	0.49058157205581665
78.0	0.12692100816998597	0.10750834392559937	0.4905796945095062
